00:01.045  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'addon_filter', 'default'
00:01.127  bpy.rna          | WARNING current value '-1' matches no enum in 'EnumProperty', 'brush_type', 'default'
00:01.211  bpy.rna          | WARNING current value '262144' matches no enum in 'PointerProperty', 'color_ramp', 'subtype'
00:01.212  bpy.rna          | WARNING current value '262144' matches no enum in 'PointerProperty', 'default', 'subtype'
00:01.212  bpy.rna          | WARNING current value '262144' matches no enum in 'PointerProperty', 'addon', 'subtype'
00:01.212  bpy.rna          | WARNING current value '262144' matches no enum in 'PointerProperty', 'user', 'subtype'
00:01.231  bpy.rna          | WARNING current value '65549' matches no enum in 'FloatProperty', 'radius', 'subtype'
00:01.234  bpy.rna          | WARNING current value '65536' matches no enum in 'FloatProperty', 'view_height', 'subtype'
00:01.234  bpy.rna          | WARNING current value '65536' matches no enum in 'FloatProperty', 'jump_height', 'subtype'
00:01.234  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'working_space', 'default'
00:01.254  bpy.rna          | WARNING current value '65536' matches no enum in 'EnumProperty', 'ui_type', 'default'
00:01.329  bpy.rna          | WARNING current value '262144' matches no enum in 'PointerProperty', 'image_user', 'subtype'
00:01.330  bpy.rna          | WARNING current value '262144' matches no enum in 'PointerProperty', 'color_ramp', 'subtype'
00:01.332  bpy.rna          | WARNING current value '524288' matches no enum in 'FloatProperty', 'deactivate_linear_velocity', 'subtype'
00:01.332  bpy.rna          | WARNING current value '524288' matches no enum in 'FloatProperty', 'deactivate_angular_velocity', 'subtype'
00:01.332  bpy.rna          | WARNING current value '65536' matches no enum in 'FloatProperty', 'collision_margin', 'subtype'
00:01.457  bpy.rna          | WARNING current value '1' matches no enum in 'EnumProperty', 'asset_library_reference', 'default'
00:01.457  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.457  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.457  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'asset_library_reference', 'default'
00:01.457  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.457  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.457  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.457  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.458  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.458  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'collection', 'default'
00:01.458  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'collection', 'default'
00:01.458  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'collection', 'default'
00:01.460  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.460  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'export_format', 'default'
00:01.461  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'repo', 'default'
00:01.461  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'target', 'default'
00:01.461  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.461  bpy.rna          | WARNING current value '1' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.461  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.463  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.465  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.465  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.465  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.465  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.466  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'scene', 'default'
00:01.468  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'shape', 'default'
00:01.511  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'action', 'default'
00:01.513  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.553  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'type', 'default'
00:01.555  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'collection', 'default'
00:01.555  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'collection', 'default'
00:01.555  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'collection', 'default'
00:01.555  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'type', 'default'
00:01.555  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'type', 'default'
00:01.555  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'data_type', 'default'
00:01.566  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.567  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'modifier', 'default'
00:01.567  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'modifier', 'default'
00:01.567  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'modifier', 'default'
00:01.567  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'modifier', 'default'
00:01.567  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'modifier', 'default'
00:01.567  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'scene', 'default'
00:01.568  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.568  bpy.rna          | WARNING current value '1' matches no enum in 'EnumProperty', 'group_select_mode', 'default'
00:01.568  bpy.rna          | WARNING current value '1' matches no enum in 'EnumProperty', 'group_select_mode', 'default'
00:01.568  bpy.rna          | WARNING current value '1' matches no enum in 'EnumProperty', 'group_select_mode', 'default'
00:01.568  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'group_select_mode', 'default'
00:01.568  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'group_select_mode', 'default'
00:01.568  bpy.rna          | WARNING current value '1' matches no enum in 'EnumProperty', 'group_select_mode', 'default'
00:01.568  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'group', 'default'
00:01.568  bpy.rna          | WARNING current value '1' matches no enum in 'EnumProperty', 'group_select_mode', 'default'
00:01.569  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.569  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'action', 'default'
00:01.569  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'image', 'default'
00:01.570  bpy.rna          | WARNING current value '327680' matches no enum in 'FloatProperty', 'clean_angle', 'subtype'
00:01.570  bpy.rna          | WARNING current value '327680' matches no enum in 'FloatProperty', 'dirt_angle', 'subtype'
00:01.574  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'target', 'default'
00:01.574  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.575  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.575  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.577  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.577  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'scene', 'default'
00:01.579  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.579  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.579  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'mask', 'default'
00:01.579  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.580  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'clip', 'default'
00:01.600  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'scene', 'default'
00:01.600  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.600  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'type', 'default'
00:01.600  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.601  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.601  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.601  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.601  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.609  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'name', 'default'
00:01.609  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'name', 'default'
00:01.609  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.609  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.609  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.610  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.610  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.610  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.610  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.610  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.611  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.611  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.611  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.611  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.611  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.611  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.611  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.612  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.612  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'subtype', 'default'
00:01.618  bpy.rna          | WARNING current value '3' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.619  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.619  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.619  bpy.rna          | WARNING current value '-1' matches no enum in 'EnumProperty', 'working_space', 'default'
00:01.619  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.619  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.619  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'type', 'default'
00:01.619  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'
00:01.620  bpy.rna          | WARNING current value '0' matches no enum in 'EnumProperty', 'sort_method', 'default'

Stubs written to: <TMP>
Add to mypy config: mypy_path = doc/python_api/stubs
.
----------------------------------------------------------------------
Ran 1 test in 39.368s

OK
Switching to fully guarded memory allocator.
Blender 5.2.0 LTS (hash <PIN> built <DATE>)
